pattern_initial,cuvant_real,gasit,incercari,pattern_final
******ra**,iconografă,True,7,iconografă
*a**c****,fagocitul,True,9,fagocitul
*p*c******,apicolilor,True,6,apicolilor
h**o******,hipoplazii,True,6,hipoplazii
**oho**,prohodi,True,4,prohodi
***pl**,cioplea,True,5,cioplea
**v***i*****,covârșitelor,True,8,covârșitelor
p***u*****,pârguirile,True,7,pârguirile
**r***er**e,burghierile,True,6,burghierile
**m*****i*ii,samavolnicii,True,7,samavolnicii
*ă*ă***t*,cășăiește,True,4,cășăiește
s*sa***,sisalul,True,3,sisalul
****rar****,cinerariile,True,5,cinerariile
***a*****r**,dezaglomerăm,True,8,dezaglomerăm
***r**ă,tetrodă,True,5,tetrodă
******ur**,mânjiturii,True,6,mânjiturii
*e**f*********,desofisticării,True,8,desofisticării
t***r*,tăieri,True,3,tăieri
****il**il**,gentileților,True,7,gentileților
******ci***,nenorocitul,True,7,nenorocitul
***i*t*,înaintă,True,6,înaintă
******ul,istmicul,True,5,istmicul
**cu***u****cu*,ascuțitunghicul,True,9,ascuțitunghicul
o******ă***o*,obnubilărilor,True,6,obnubilărilor
****ăc******,bumbăcelului,True,6,bumbăcelului
****ă*ăr****,postăvăriile,True,8,postăvăriile
*e********l,centrozomul,True,9,centrozomul
*****u**s*,debavurase,True,7,debavurase
v***i**,vramițe,True,8,vramițe
**t**i,retori,True,6,retori
**i***l***l**,epistolarelor,True,7,epistolarelor
***h**b******,închiabureați,True,9,închiabureați
l*********e*,laminatoarea,True,8,laminatoarea
******ez,platinez,True,8,platinez
***d*r****,țăndărelei,True,6,țăndărelei
***a**r*,tevaturi,True,5,tevaturi
f*d******,fidanțata,True,5,fidanțata
e*******le,exondările,True,8,exondările
****ma**a**,decomandată,True,7,decomandată
*m****l*,omagiali,True,5,omagiali
****p**e*,stâlpisem,True,7,stâlpisem
el**l**,elfilor,True,4,elfilor
**c**c***a*****,deconcertantele,True,7,deconcertantele
***i*u*ui,gagicului,True,10,gagicului
a**la***,apelarăm,True,5,apelarăm
*******of****o*,spermatofitelor,True,9,spermatofitelor
***r******o***or,necredincioșilor,True,8,necredincioșilor
***st****,cinstețul,True,9,cinstețul
**o*or********,neoformațiunii,True,8,neoformațiunii
p*g*******,pegmatitul,True,7,pegmatitul
***t**e*te,plutuiește,True,5,plutuiește
*i**e*ii,cintezii,True,6,cintezii
*o***i***,folfăiesc,True,8,folfăiesc
****i**l**i***l***l**,otorinolaringologelor,True,7,otorinolaringologelor
e**e***a**e*,estetizantei,True,5,estetizantei
b*********ă,balaoacheșă,True,8,balaoacheșă
*o*ă***ă,notăriță,True,5,notăriță
d*l***,duleți,True,4,duleți
****e**s***e*,rickettsiozei,True,7,rickettsiozei
c***ș*,cireșe,True,3,cireșe
**ă*d**,zgărdat,True,5,zgărdat
*****o***lo*,prețioaselor,True,8,prețioaselor
d***r***r,dimprejur,True,6,dimprejur
**l****t,bulbucat,True,6,bulbucat
*****d*n*,arierdună,True,8,arierdună
***ci**i,flacidei,True,7,flacidei
******ț****l*,convenționali,True,8,convenționali
******ță,cuconiță,True,5,cuconiță
n***n*ș*********,neliniștitorului,True,7,neliniștitorului
b********r***,bihindisirile,True,7,bihindisirile
***l*n****,împlinirea,True,7,împlinirea
i*s*i****,instigând,True,5,instigând
r*c****,recente,True,3,recente
e***e*ă,emblemă,True,3,emblemă
***g***ș**,singurașul,True,7,singurașul
****e**et******,subsecretarului,True,8,subsecretarului
*e*********e*ă*,devitalizaserăm,True,11,devitalizaserăm
*****r**i**,subapreciez,True,9,subapreciez
cl*****l**,clasatului,True,5,clasatului
**r**n****,faraonicul,True,9,faraonicul
**ro**r**or,înrolărilor,True,5,înrolărilor
*r*****u,primeziu,True,5,primeziu
c**c*a*****,cruciatului,True,5,cruciatului
p*o********,prodigatele,True,8,prodigatele
**na,vina,True,4,vina
**fr*r**,cifrarăm,True,5,cifrarăm
********s*m,înfruntasem,True,9,înfruntasem
**oș***,vioșeli,True,4,vioșeli
********ăț*,amușiserăți,True,8,amușiserăți
*e*e*r****r*,telegrafiară,True,7,telegrafiară
******ad***,citronadele,True,8,citronadele
**s*************r,baschetbaliștilor,True,10,baschetbaliștilor
**p****l,septicul,True,7,septicul
**n*no,veneno,True,2,veneno
****o*ă*,gudronăm,True,7,gudronăm
c*r***c*****,cordenciului,True,7,cordenciului
st*******,stropșire,True,6,stropșire
f*i*****i**,foiletonist,True,6,foiletonist
*****s**ă,pliciseră,True,7,pliciseră
a***tat,achitat,True,3,achitat
